Time(s),Lead3ElectricPotential(mV),HeartRate(1/min),ArterialPressure(mmHg),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),OxygenSaturation,RespirationRate(1/min),SkinTemperature(degC),Carina-CarbonDioxide-PartialPressure(mmHg)
46.88,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,0.4
46.90,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,0.4
46.92,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,0.4
46.94,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,0.4
46.96,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,0.4
46.98,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.00,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.02,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.04,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.06,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.08,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.10,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.12,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.14,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.16,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.18,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.20,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.22,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.24,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.26,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.28,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.30,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.32,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.34,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.36,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.38,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.40,0.032,73.17,98.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.42,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.44,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.46,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.48,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.50,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.52,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.54,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.56,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.58,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
47.60,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,0.7
47.62,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,1.5
47.64,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,2.4
47.66,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,3.5
47.68,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,4.6
47.70,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,5.7
47.72,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,6.7
47.74,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,7.7
47.76,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,8.6
47.78,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,9.5
47.80,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,10.3
47.82,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,11.0
47.84,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,11.7
47.86,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,12.4
47.88,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,13.0
47.90,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,13.6
47.92,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,14.2
47.94,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,14.7
47.96,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,15.2
47.98,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,15.7
48.00,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,16.2
48.02,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,16.7
48.04,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,17.1
48.06,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,17.5
48.08,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,17.9
48.10,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,18.3
48.12,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,18.6
48.14,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,19.0
48.16,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,19.3
48.18,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,19.6
48.20,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,19.9
48.22,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,20.2
48.24,0.032,73.17,98.8,94.6,113.7,73.0,0.973,15.96,33.1,20.5
48.26,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,20.8
48.28,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,21.0
48.30,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,21.3
48.32,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,21.5
48.34,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,21.7
48.36,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,21.9
48.38,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,22.2
48.40,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,22.4
48.42,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,22.5
48.44,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,22.7
48.46,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,22.9
48.48,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,23.1
48.50,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,23.2
48.52,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,23.4
48.54,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,23.5
48.56,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,23.7
48.58,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,23.8
48.60,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,23.9
48.62,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,24.1
48.64,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,24.2
48.66,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,24.3
48.68,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,24.4
48.70,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,24.5
48.72,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,24.6
48.74,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,24.7
48.76,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,24.8
48.78,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,24.9
48.80,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,25.0
48.82,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,25.1
48.84,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,25.2
48.86,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,25.3
48.88,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,25.3
48.90,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,25.4
48.92,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,25.5
48.94,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,25.6
48.96,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,25.6
48.98,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,25.7
49.00,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,25.7
49.02,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,25.8
49.04,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,25.9
49.06,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,25.9
49.08,0.032,73.17,98.8,94.6,113.7,73.0,0.973,15.96,33.1,26.0
49.10,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,26.0
49.12,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,26.1
49.14,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,26.1
49.16,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,26.2
49.18,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,26.2
49.20,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,26.3
49.22,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,26.3
49.24,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,26.3
49.26,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,26.4
49.28,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,26.4
49.30,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,26.4
49.32,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,26.5
49.34,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,26.5
49.36,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,26.6
49.38,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,26.6
49.40,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,26.6
49.42,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,26.6
49.44,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,26.7
49.46,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,26.7
49.48,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,26.7
49.50,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,26.8
49.52,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,26.8
49.54,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,26.8
49.56,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,26.8
49.58,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,26.8
49.60,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,26.9
49.62,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,26.9
49.64,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,26.9
49.66,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,26.9
49.68,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,26.9
49.70,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,27.0
49.72,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,27.0
49.74,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,27.0
49.76,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,27.0
49.78,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,27.0
49.80,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.82,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.84,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.86,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.88,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.90,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.92,0.032,73.17,98.8,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.94,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,27.1
49.96,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,27.2
49.98,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.00,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.02,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.04,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.06,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.08,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,27.2
50.10,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,27.3
50.12,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,27.1
50.14,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,26.4
50.16,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,24.9
50.18,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,22.5
50.20,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,19.7
50.22,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,16.7
50.24,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,13.8
50.26,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,11.2
50.28,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,9.0
50.30,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,7.1
50.32,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,5.6
50.34,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,4.4
50.36,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,3.5
50.38,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,2.8
50.40,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,2.2
50.42,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,1.8
50.44,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,1.5
50.46,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,1.2
50.48,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,1.0
50.50,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,0.8
50.52,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,0.7
50.54,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,0.6
50.56,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,0.6
50.58,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,0.5
50.60,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,0.5
50.62,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.64,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.66,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.68,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.70,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.72,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,0.4
50.74,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.76,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.78,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.80,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.82,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.84,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.86,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.88,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.90,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.92,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.94,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.96,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
50.98,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.00,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.02,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.04,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.06,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.08,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.10,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.12,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.14,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.16,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.18,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.20,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.22,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.24,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.26,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.28,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.30,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.32,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.34,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,0.3
51.36,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,0.7
51.38,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,1.5
51.40,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,2.4
51.42,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,3.5
51.44,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,4.6
51.46,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,5.7
51.48,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,6.7
51.50,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,7.7
51.52,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,8.6
51.54,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,9.5
51.56,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,10.3
51.58,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,11.0
51.60,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.1,11.7
51.62,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,12.4
51.64,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,13.0
51.66,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,13.6
51.68,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,14.2
51.70,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,14.7
51.72,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,15.2
51.74,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,15.7
51.76,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,16.2
51.78,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,16.7
51.80,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,17.1
51.82,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,17.5
51.84,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,17.9
51.86,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,18.3
51.88,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,18.6
51.90,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,19.0
51.92,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,19.3
51.94,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,19.6
51.96,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,19.9
51.98,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,20.2
52.00,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,20.5
52.02,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,20.8
52.04,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,21.0
52.06,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,21.3
52.08,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,21.5
52.10,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,21.7
52.12,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,21.9
52.14,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,22.2
52.16,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,22.4
52.18,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,22.5
52.20,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,22.7
52.22,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,22.9
52.24,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,23.1
52.26,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,23.2
52.28,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,23.4
52.30,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,23.5
52.32,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,23.7
52.34,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,23.8
52.36,-0.033,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,23.9
52.38,-0.018,73.17,81.4,94.6,113.7,73.0,0.973,15.96,33.1,24.1
52.40,-0.007,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,24.2
52.42,0.010,73.17,93.5,94.6,113.7,73.0,0.973,15.96,33.1,24.3
52.44,0.032,73.17,98.9,94.6,113.7,73.0,0.973,15.96,33.1,24.4
52.46,0.063,73.17,103.3,94.6,113.7,73.0,0.973,15.96,33.1,24.5
52.48,0.096,73.17,106.8,94.6,113.7,73.0,0.973,15.96,33.1,24.6
52.50,0.145,73.17,109.4,94.6,113.7,73.0,0.973,15.96,33.1,24.7
52.52,0.183,73.17,111.3,94.6,113.7,73.0,0.973,15.96,33.1,24.8
52.54,0.201,73.17,112.6,94.6,113.7,73.0,0.973,15.96,33.1,24.9
52.56,0.209,73.17,113.3,94.6,113.7,73.0,0.973,15.96,33.1,25.0
52.58,0.139,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,25.1
52.60,0.050,73.17,113.7,94.6,113.7,73.0,0.973,15.96,33.1,25.2
52.62,-0.018,73.17,113.4,94.6,113.7,73.0,0.973,15.96,33.1,25.3
52.64,-0.037,73.17,112.5,94.6,113.7,73.0,0.973,15.96,33.1,25.3
52.66,-0.037,73.17,110.7,94.6,113.7,73.0,0.973,15.96,33.1,25.4
52.68,0,73.17,108.8,94.6,113.7,73.0,0.973,15.96,33.1,25.5
52.70,0,73.17,106.9,94.6,113.7,73.0,0.973,15.96,33.1,25.6
52.72,0,73.17,105.0,94.6,113.7,73.0,0.973,15.96,33.1,25.6
52.74,0,73.17,103.2,94.6,113.7,73.0,0.973,15.96,33.1,25.7
52.76,0,73.17,101.5,94.6,113.7,73.0,0.973,15.96,33.1,25.7
52.78,0,73.17,99.8,94.6,113.7,73.0,0.973,15.96,33.1,25.8
52.80,0,73.17,98.1,94.6,113.7,73.0,0.973,15.96,33.1,25.9
52.82,0,73.17,96.5,94.6,113.7,73.0,0.973,15.96,33.1,25.9
52.84,0,73.17,94.9,94.6,113.7,73.0,0.973,15.96,33.1,26.0
52.86,0,73.17,93.3,94.6,113.7,73.0,0.973,15.96,33.1,26.0
52.88,0,73.17,91.8,94.6,113.7,73.0,0.973,15.96,33.1,26.1
52.90,0,73.17,90.3,94.6,113.7,73.0,0.973,15.96,33.1,26.1
52.92,0,73.17,88.9,94.6,113.7,73.0,0.973,15.96,33.1,26.2
52.94,-0.039,73.17,87.5,94.6,113.7,73.0,0.973,15.96,33.1,26.2
52.96,-0.004,73.17,86.1,94.6,113.7,73.0,0.973,15.96,33.1,26.3
52.98,0.068,73.17,84.7,94.6,113.7,73.0,0.973,15.96,33.1,26.3
53.00,0.002,73.17,83.4,94.6,113.7,73.0,0.973,15.96,33.1,26.3
53.02,-0.050,73.17,82.1,94.6,113.7,73.0,0.973,15.96,33.1,26.4
53.04,-0.071,73.17,80.9,94.6,113.7,73.0,0.973,15.96,33.1,26.4
53.06,-0.081,73.17,79.6,94.6,113.7,73.0,0.973,15.96,33.1,26.5
53.08,-0.074,73.17,78.4,94.6,113.7,73.0,0.973,15.96,33.1,26.5
53.10,0.175,73.17,77.3,94.6,113.7,73.0,0.973,15.96,33.1,26.5
53.12,0.668,73.17,76.1,94.6,113.7,73.0,0.973,15.96,33.1,26.6
53.14,-0.077,73.17,75.0,94.6,113.7,73.0,0.973,15.96,33.1,26.6
53.16,-0.038,73.17,73.9,94.6,113.7,73.0,0.973,15.96,33.1,26.6
53.18,-0.035,73.17,73.0,94.6,113.7,73.0,0.973,15.96,33.1,26.6
